election,county,registered_voters,total_votes_cast,absentee_by_mail_voters,early_voters,per_voter_turnout,per_early_voters,per_early_absentee_voters
2008-11-04,Hancock,4844,2339,112,834,0.4828654004954583,0.35656263360410434,0.40444634459170586
2008-11-04,Hardeman,17367,11383,177,6866,0.6554384752691886,0.6031801809716244,0.618729684617412
2008-11-04,Hardin,16023,10151,214,4797,0.6335268052174998,0.47256427938134177,0.4936459462121958
2008-11-04,Hawkins,34734,21276,578,11770,0.6125410260839523,0.5532054897537131,0.5803722504230119
2008-11-04,Haywood,11149,8272,354,3911,0.7419499506682213,0.4727998065764023,0.5155947775628626
2008-11-04,Henderson,16948,11008,140,5990,0.6495161670993628,0.5441497093023255,0.5568677325581395
2008-11-04,Henry,23556,13706,359,7656,0.5818475123110884,0.5585874799357945,0.5847803881511746
2008-11-04,Hickman,14271,8650,183,4575,0.6061243080372783,0.5289017341040463,0.5500578034682081
2008-11-04,Houston,5024,3441,177,1912,0.6849124203821656,0.5556524266201686,0.6070909619296716
2008-11-04,Humphreys,12291,7731,266,4796,0.6289968269465462,0.6203595912559824,0.6547665243823567
2008-11-04,Jackson,8669,4571,100,1595,0.5272811166224478,0.3489389630277839,0.37081601400131264
2008-11-04,Jefferson,29173,18770,559,9944,0.6434031467452782,0.5297815663292488,0.5595631326584976
2008-11-04,Johnson,10547,6654,235,3958,0.6308903005594008,0.5948301773369402,0.6301472798316802
2008-11-04,Knox,281784,188939,5240,125796,0.6705100360559861,0.6658021901248551,0.6935360089764422
2008-11-04,Lake,4317,2275,62,1140,0.526986333101691,0.5010989010989011,0.5283516483516484
2008-11-04,Lauderdale,14612,9390,412,5334,0.642622502053107,0.5680511182108626,0.6119275825346113
2008-11-04,Lawrence,26386,16287,285,7759,0.6172591525809141,0.47639221464972065,0.4938908331798367
2008-11-04,Lewis,8168,4941,94,2809,0.6049216454456415,0.568508399109492,0.5875328880793361
2008-11-04,Lincoln,19203,13259,279,6713,0.690465031505494,0.5062976091711291,0.5273399200543027
2008-11-04,Loudon,31241,22437,602,15513,0.718190838961621,0.6914025939296697,0.7182332753933235
2008-11-04,Macon,13916,7450,124,4709,0.5353549870652486,0.6320805369127517,0.6487248322147651
2008-11-04,Madison,64822,44478,1179,26213,0.6861559347135232,0.589347542605333,0.6158550294527632
2008-11-04,Marion,19726,11456,282,4143,0.5807563621616141,0.3616445530726257,0.3862604748603352
2008-11-04,Marshall,17849,11366,229,6033,0.6367863745868115,0.5307935949322541,0.5509414041879289
2008-11-04,Maury,45995,34038,658,22118,0.740036960539189,0.6498031611728069,0.6691344967389389
2008-11-04,Mcminn,30162,19502,577,10435,0.6465751607983555,0.5350733258127371,0.5646600348682187
2008-11-04,Mcnairy,15373,10605,312,5344,0.6898458336043714,0.5039132484677039,0.5333333333333333
2008-11-04,Meigs,7732,4274,127,2264,0.5527677185721677,0.529714553111839,0.559429106223678
2008-11-04,Monroe,29795,17158,1213,7858,0.5758684343010573,0.4579787854062245,0.5286746707075417
2008-11-04,Montgomery,89851,56879,3377,33319,0.6330369166731589,0.5857873731957313,0.6451590217830834
2008-11-04,Moore,4422,2979,83,1469,0.6736770691994572,0.4931184961396442,0.5209801946962068
2008-11-04,Morgan,11179,6886,192,2682,0.615976384291976,0.38948591344757477,0.4173685739180947
2008-11-04,Obion,21495,13523,258,7091,0.6291230518725285,0.5243658951416106,0.5434445019596243
2008-11-04,Overton,13786,8180,158,4034,0.5933555781227332,0.49315403422982884,0.5124694376528117
2008-11-04,Perry,5558,3036,124,1299,0.5462396545519971,0.4278656126482213,0.46870882740447956
2008-11-04,Pickett,4246,2773,106,1118,0.6530852567121997,0.40317345834835916,0.44139920663541293
2008-11-04,Polk,12128,6683,164,2749,0.5510389182058048,0.41134221158162504,0.4358820888822385
2008-11-04,Putnam,42391,27656,564,13216,0.6524026326342856,0.4778709864043969,0.49826439109054094
2008-11-04,Rhea,19608,11280,320,5790,0.5752753977968176,0.5132978723404256,0.5416666666666666
2008-11-04,Roane,35960,23633,722,14347,0.6572024471635151,0.6070748529598443,0.6376253543773537
2008-11-04,Robertson,38868,27821,553,16255,0.7157816198415149,0.5842708745192481,0.6041479457963409
2008-11-04,Rutherford,144148,102155,1800,66614,0.7086813552737464,0.6520875140717537,0.6697077969751848
2008-11-04,Scott,14498,6908,196,3191,0.4764795144157815,0.4619281991893457,0.49030110017371165
2008-11-04,Sequatchie,8562,5516,70,2467,0.6442419995328195,0.4472443799854967,0.459934735315446
2008-11-04,Sevier,55484,34149,716,15559,0.6154747314541129,0.45562095522562884,0.4765878942282351
2008-11-04,Shelby,653497,399208,6845,243123,0.6108796214825776,0.6090133464259233,0.6261597963968658
2008-11-04,Smith,12505,7900,206,4783,0.6317473010795682,0.6054430379746836,0.6315189873417721
2008-11-04,Stewart,8563,5566,257,3071,0.6500058390750905,0.5517427236794826,0.5979159180740209
2008-11-04,Sullivan,89799,64682,2548,39599,0.7202975534248711,0.6122105067870505,0.6516032281005535
2008-11-04,Sumner,88354,67653,1556,29420,0.7657038730561152,0.434866155233323,0.4578658743884233
2008-11-04,Tipton,38267,25501,481,17135,0.6663966341756605,0.671934433943767,0.6907964393553194
2008-11-04,Trousdale,5387,3308,74,2163,0.6140709114534991,0.653869407496977,0.6762394195888755
2008-11-04,Unicoi,11377,7314,166,4028,0.6428759778500484,0.5507246376811594,0.5734208367514356
2008-11-04,Union,11645,6490,283,1684,0.5573207385143839,0.25947611710323576,0.30308166409861326
2008-11-04,Van Buren,4436,2264,33,1015,0.5103697024346258,0.44832155477031804,0.4628975265017668
2008-11-04,Warren,21726,14638,200,8091,0.6737549479885852,0.5527394452794098,0.5664025140046455
2008-11-04,Washington,65897,49203,1553,24371,0.7466652503148854,0.4953153263012418,0.5268784423714001
2008-11-04,Wayne,10609,5596,218,1973,0.5274766707512489,0.35257326661901356,0.39152966404574696
2008-11-04,Weakley,19920,13946,238,6774,0.7001004016064257,0.4857306754624982,0.5027965007887566
2008-11-04,White,15557,9855,241,4968,0.63347689143151,0.5041095890410959,0.5285641806189751
2008-11-04,Williamson,121263,93964,2014,70302,0.7748777450665083,0.7481801541015708,0.7696138946830701
2008-11-04,Wilson,66733,51503,751,26188,0.7717770818036054,0.508475234452362,0.523056909306254
